Category,Subcategory
Living Room,Sofa
Living Room,Corner Sofa
Living Room,Coffee Table
Living Room,TV Unit
Living Room,Bookcase
Living Room,Sideboard
Living Room,Armchair
Living Room,Rug

Kitchen,Dining Table
Kitchen,Dining Chair
Kitchen,Bar Stool
Kitchen,Kitchen Island
Kitchen,Kitchen Cabinet
Kitchen,Kitchen Shelf

Bedroom,Bed
Bedroom,Nightstand
Bedroom,Wardrobe
Bedroom,Dresser
Bedroom,Chest of Drawers

Bathroom,Mirror
Bathroom,Vanity Unit
Bathroom,Tall Cabinet
Bathroom,Storage Cabinet

Home Office,Desk
Home Office,Office Chair
Home Office,Bookcase
Home Office,Filing Cabinet

Garden,Outdoor Chair
Garden,Outdoor Table
Garden,BBQ
Garden,Sun Lounger
Garden,Planter
Garden,Garden Storage

Lighting,Floor Lamp
Lighting,Desk Lamp
Lighting,Pendant Light
Lighting,Wall Light
Lighting,Table Lamp

Decoration,Wall Art
Decoration,Vase
Decoration,Clock
Decoration,Cushion
Decoration,Mirror

Storage,Shelf
Storage,Plastic Box
Storage,Metal Rack
Storage,Basket
Storage,Cabinet
