Store_ID,Store_Name,City,Region,Store_Type,Opening_Year,Surface_m2,Employees,Is_Active
101,Novexa Store 101,Bordeaux,East,Flagship,2025,2652,32,True
102,Novexa Store 102,Marseille,West,Flagship,2020,2737,30,True
103,Novexa Store 103,Dijon,East,Flagship,2025,1287,23,True
104,Novexa Store 104,Lille,South,Outlet,2019,3387,21,True
105,Novexa Store 105,Nice,East,Outlet,2021,2795,58,True
106,Novexa Store 106,Lille,North,Flagship,2022,4169,33,True
107,Novexa Store 107,Marseille,East,Retail,2019,4412,53,True
108,Novexa Store 108,Nice,East,Flagship,2025,1376,20,True
109,Novexa Store 109,Lille,East,Retail,2013,3021,55,True
110,Novexa Store 110,Bordeaux,North,Flagship,2017,3113,22,True
111,Novexa Store 111,Nantes,East,Flagship,2025,911,51,True
112,Novexa Store 112,Paris,South,Outlet,2025,2455,49,True
113,Novexa Store 113,Lille,East,Outlet,2011,4218,57,True
114,Novexa Store 114,Strasbourg,South,Flagship,2011,4240,19,True
115,Novexa Store 115,Marseille,North,Outlet,2025,1263,55,True
116,Novexa Store 116,Lille,North,Retail,2019,2826,46,True
117,Novexa Store 117,Toulouse,East,Outlet,2025,4142,16,True
118,Novexa Store 118,Nice,East,Retail,2013,1854,18,True
119,Novexa Store 119,Montpellier,East,Flagship,2015,557,55,True
120,Novexa Store 120,Lille,South,Retail,2022,3887,35,True
121,Novexa Store 121,Lyon,West,Flagship,2013,1256,16,True
122,Novexa Store 122,Bordeaux,North,Outlet,2022,1464,36,True
123,Novexa Store 123,Toulouse,East,Flagship,2010,1571,49,True
124,Novexa Store 124,Bordeaux,North,Flagship,2013,2406,27,True
125,Novexa Store 125,Montpellier,East,Flagship,2013,3116,26,True
126,Novexa Store 126,Bordeaux,South,Retail,2025,1127,37,True
127,Novexa Store 127,Strasbourg,East,Outlet,2025,3602,42,True
128,Novexa Store 128,Bordeaux,South,Flagship,2012,2652,36,True
129,Novexa Store 129,Toulouse,North,Flagship,2013,752,43,True
130,Novexa Store 130,Bordeaux,South,Retail,2020,3999,41,True
131,Novexa Store 131,Montpellier,South,Flagship,2025,872,40,True
132,Novexa Store 132,Paris,West,Retail,2023,2371,44,True
133,Novexa Store 133,Nice,East,Flagship,2010,2121,24,True
134,Novexa Store 134,Dijon,South,Flagship,2012,685,35,True
135,Novexa Store 135,Lyon,North,Retail,2025,629,26,True
136,Novexa Store 136,Marseille,West,Outlet,2022,2337,32,True
137,Novexa Store 137,Montpellier,South,Flagship,2021,985,19,True
138,Novexa Store 138,Nantes,South,Flagship,2017,3919,8,True
139,Novexa Store 139,Lille,West,Flagship,2023,2678,32,True
140,Novexa Store 140,Bordeaux,West,Outlet,2014,1629,20,True
