Supplier_ID,Supplier_Name,Country,Supplier_Type,Rating,Lead_Time_Days,Is_Active
2001,Supplier 2001,Germany,Manufacturer,5,19,True
2002,Supplier 2002,Italy,Wholesaler,3,7,True
2003,Supplier 2003,France,Manufacturer,3,15,True
2004,Supplier 2004,France,Wholesaler,3,28,True
2005,Supplier 2005,Belgium,Manufacturer,3,29,True
2006,Supplier 2006,Italy,Manufacturer,4,8,True
2007,Supplier 2007,Germany,Distributor,4,18,True
2008,Supplier 2008,Portugal,Wholesaler,3,26,True
2009,Supplier 2009,Belgium,Wholesaler,5,25,True
2010,Supplier 2010,Germany,Manufacturer,5,16,True
2011,Supplier 2011,Germany,Manufacturer,3,26,True
2012,Supplier 2012,Netherlands,Manufacturer,4,24,True
2013,Supplier 2013,Belgium,Wholesaler,5,6,True
2014,Supplier 2014,Italy,Wholesaler,5,17,True
2015,Supplier 2015,Poland,Distributor,5,16,True
2016,Supplier 2016,France,Manufacturer,3,22,True
2017,Supplier 2017,Germany,Manufacturer,5,22,True
2018,Supplier 2018,Portugal,Distributor,5,31,True
2019,Supplier 2019,Italy,Manufacturer,5,18,True
2020,Supplier 2020,Poland,Wholesaler,4,25,True
2021,Supplier 2021,Italy,Wholesaler,4,7,True
2022,Supplier 2022,Germany,Manufacturer,5,12,True
2023,Supplier 2023,Poland,Wholesaler,3,26,True
2024,Supplier 2024,Portugal,Wholesaler,4,2,True
2025,Supplier 2025,Germany,Wholesaler,5,19,True
2026,Supplier 2026,Netherlands,Manufacturer,4,29,True
2027,Supplier 2027,France,Wholesaler,5,18,True
2028,Supplier 2028,Italy,Wholesaler,3,21,True
2029,Supplier 2029,Spain,Manufacturer,4,12,True
2030,Supplier 2030,France,Wholesaler,4,33,False
2031,Supplier 2031,Netherlands,Distributor,3,5,True
2032,Supplier 2032,Germany,Manufacturer,5,33,True
2033,Supplier 2033,Italy,Manufacturer,5,32,True
2034,Supplier 2034,Italy,Distributor,5,29,True
2035,Supplier 2035,Spain,Wholesaler,4,27,True
2036,Supplier 2036,Netherlands,Distributor,5,30,True
2037,Supplier 2037,Spain,Manufacturer,4,3,True
2038,Supplier 2038,Spain,Wholesaler,3,2,True
2039,Supplier 2039,France,Manufacturer,3,4,True
2040,Supplier 2040,Germany,Wholesaler,3,19,True
2041,Supplier 2041,Spain,Wholesaler,3,32,True
2042,Supplier 2042,Portugal,Distributor,3,8,True
2043,Supplier 2043,Poland,Distributor,4,28,True
2044,Supplier 2044,France,Wholesaler,5,8,True
2045,Supplier 2045,Netherlands,Manufacturer,3,14,True
2046,Supplier 2046,Portugal,Manufacturer,4,13,True
2047,Supplier 2047,Spain,Manufacturer,4,8,True
2048,Supplier 2048,France,Manufacturer,3,12,True
2049,Supplier 2049,Portugal,Manufacturer,4,5,True
2050,Supplier 2050,France,Distributor,4,31,True
2051,Supplier 2051,Portugal,Manufacturer,3,20,True
2052,Supplier 2052,France,Wholesaler,5,5,True
2053,Supplier 2053,France,Manufacturer,5,32,True
2054,Supplier 2054,Italy,Manufacturer,5,7,True
2055,Supplier 2055,Germany,Wholesaler,3,17,True
2056,Supplier 2056,Spain,Wholesaler,5,4,True
2057,Supplier 2057,Poland,Wholesaler,5,35,True
2058,Supplier 2058,Belgium,Manufacturer,5,22,True
2059,Supplier 2059,Poland,Manufacturer,5,21,True
2060,Supplier 2060,Germany,Manufacturer,4,8,True
2061,Supplier 2061,Spain,Wholesaler,4,10,True
2062,Supplier 2062,Germany,Manufacturer,4,20,True
2063,Supplier 2063,Belgium,Wholesaler,5,35,False
2064,Supplier 2064,Belgium,Wholesaler,3,10,True
2065,Supplier 2065,Germany,Wholesaler,5,11,True
2066,Supplier 2066,Spain,Wholesaler,4,15,True
2067,Supplier 2067,Belgium,Wholesaler,4,18,True
2068,Supplier 2068,France,Manufacturer,5,29,True
2069,Supplier 2069,France,Manufacturer,4,10,True
2070,Supplier 2070,Belgium,Manufacturer,5,30,True
2071,Supplier 2071,Poland,Wholesaler,3,9,True
2072,Supplier 2072,Italy,Wholesaler,3,25,True
2073,Supplier 2073,Italy,Distributor,3,4,True
2074,Supplier 2074,France,Distributor,3,17,True
2075,Supplier 2075,Netherlands,Wholesaler,4,11,True
2076,Supplier 2076,Spain,Manufacturer,3,28,False
2077,Supplier 2077,Netherlands,Distributor,5,17,True
2078,Supplier 2078,Germany,Distributor,3,32,True
2079,Supplier 2079,Portugal,Distributor,4,16,True
2080,Supplier 2080,Spain,Distributor,4,19,True
2081,Supplier 2081,Belgium,Distributor,5,34,True
2082,Supplier 2082,Netherlands,Manufacturer,3,18,True
2083,Supplier 2083,Belgium,Manufacturer,3,29,True
2084,Supplier 2084,Netherlands,Distributor,5,34,True
2085,Supplier 2085,Spain,Distributor,3,29,False
2086,Supplier 2086,Spain,Distributor,4,6,True
2087,Supplier 2087,Netherlands,Wholesaler,4,9,True
2088,Supplier 2088,Belgium,Wholesaler,4,28,True
2089,Supplier 2089,Belgium,Wholesaler,3,14,True
2090,Supplier 2090,Poland,Wholesaler,5,13,True
2091,Supplier 2091,Belgium,Distributor,5,2,True
2092,Supplier 2092,Spain,Distributor,5,22,True
2093,Supplier 2093,Portugal,Wholesaler,3,34,True
2094,Supplier 2094,Italy,Wholesaler,3,20,True
2095,Supplier 2095,Netherlands,Manufacturer,3,21,True
2096,Supplier 2096,Spain,Manufacturer,3,4,True
2097,Supplier 2097,Portugal,Wholesaler,3,31,True
2098,Supplier 2098,Spain,Wholesaler,5,26,True
2099,Supplier 2099,Spain,Manufacturer,5,2,True
2100,Supplier 2100,Germany,Distributor,3,13,True
2101,Supplier 2101,Portugal,Manufacturer,5,17,True
2102,Supplier 2102,Germany,Distributor,3,31,True
2103,Supplier 2103,Netherlands,Distributor,5,34,True
2104,Supplier 2104,Portugal,Manufacturer,5,32,True
2105,Supplier 2105,Spain,Wholesaler,4,35,True
2106,Supplier 2106,Spain,Distributor,4,6,True
2107,Supplier 2107,Spain,Distributor,4,22,True
2108,Supplier 2108,Germany,Manufacturer,3,16,True
2109,Supplier 2109,Italy,Wholesaler,3,6,True
2110,Supplier 2110,Netherlands,Wholesaler,4,28,True
2111,Supplier 2111,Poland,Distributor,5,3,True
2112,Supplier 2112,Poland,Distributor,3,24,True
2113,Supplier 2113,Poland,Distributor,5,16,True
2114,Supplier 2114,Belgium,Distributor,4,3,True
2115,Supplier 2115,Poland,Wholesaler,3,31,True
2116,Supplier 2116,France,Distributor,5,3,True
2117,Supplier 2117,Poland,Manufacturer,4,13,True
2118,Supplier 2118,Poland,Distributor,3,31,True
2119,Supplier 2119,Poland,Distributor,4,18,True
2120,Supplier 2120,Portugal,Manufacturer,5,5,True
2121,Supplier 2121,Netherlands,Manufacturer,5,6,True
2122,Supplier 2122,France,Manufacturer,3,14,True
2123,Supplier 2123,Italy,Manufacturer,3,32,True
2124,Supplier 2124,Spain,Distributor,5,18,True
2125,Supplier 2125,Italy,Wholesaler,5,9,True
2126,Supplier 2126,Italy,Distributor,3,3,True
2127,Supplier 2127,Poland,Distributor,5,14,True
2128,Supplier 2128,Spain,Manufacturer,5,21,True
2129,Supplier 2129,Germany,Wholesaler,3,24,True
2130,Supplier 2130,Netherlands,Manufacturer,5,23,False
2131,Supplier 2131,Poland,Distributor,3,29,True
2132,Supplier 2132,Portugal,Wholesaler,3,29,True
2133,Supplier 2133,Belgium,Wholesaler,5,32,True
2134,Supplier 2134,Belgium,Distributor,3,7,True
2135,Supplier 2135,Portugal,Manufacturer,4,26,True
2136,Supplier 2136,Portugal,Distributor,3,33,True
2137,Supplier 2137,Belgium,Distributor,4,19,True
2138,Supplier 2138,Spain,Manufacturer,3,28,True
2139,Supplier 2139,Spain,Wholesaler,4,33,True
2140,Supplier 2140,France,Manufacturer,4,16,True
2141,Supplier 2141,Spain,Distributor,5,25,True
2142,Supplier 2142,Netherlands,Distributor,5,23,True
2143,Supplier 2143,Portugal,Distributor,4,18,True
2144,Supplier 2144,Spain,Distributor,3,13,True
2145,Supplier 2145,Portugal,Distributor,5,35,True
2146,Supplier 2146,Germany,Manufacturer,4,16,True
2147,Supplier 2147,Belgium,Manufacturer,5,10,True
2148,Supplier 2148,France,Wholesaler,4,10,True
2149,Supplier 2149,Portugal,Manufacturer,3,20,True
2150,Supplier 2150,Portugal,Distributor,3,5,True
2151,Supplier 2151,Portugal,Manufacturer,3,27,True
2152,Supplier 2152,France,Manufacturer,3,21,True
2153,Supplier 2153,Spain,Manufacturer,5,28,True
2154,Supplier 2154,Spain,Wholesaler,4,30,True
2155,Supplier 2155,Belgium,Wholesaler,4,21,True
2156,Supplier 2156,France,Wholesaler,5,8,True
2157,Supplier 2157,Spain,Wholesaler,3,18,True
2158,Supplier 2158,Italy,Manufacturer,3,6,True
2159,Supplier 2159,Poland,Distributor,5,32,True
2160,Supplier 2160,Spain,Distributor,5,20,True
2161,Supplier 2161,Portugal,Manufacturer,5,16,True
2162,Supplier 2162,Spain,Distributor,3,16,True
2163,Supplier 2163,Belgium,Manufacturer,3,5,True
2164,Supplier 2164,Belgium,Wholesaler,5,20,True
2165,Supplier 2165,Portugal,Wholesaler,4,27,True
2166,Supplier 2166,Portugal,Distributor,3,4,True
2167,Supplier 2167,Netherlands,Wholesaler,4,3,True
2168,Supplier 2168,France,Wholesaler,4,4,True
2169,Supplier 2169,Italy,Distributor,5,30,True
2170,Supplier 2170,Italy,Wholesaler,4,33,True
2171,Supplier 2171,Portugal,Distributor,4,23,True
2172,Supplier 2172,Germany,Manufacturer,4,28,True
2173,Supplier 2173,Belgium,Wholesaler,4,4,True
2174,Supplier 2174,Netherlands,Distributor,4,9,True
2175,Supplier 2175,Poland,Wholesaler,3,31,True
2176,Supplier 2176,Spain,Wholesaler,4,33,True
2177,Supplier 2177,France,Manufacturer,4,10,True
2178,Supplier 2178,Portugal,Wholesaler,4,9,False
2179,Supplier 2179,Spain,Wholesaler,3,21,True
2180,Supplier 2180,Poland,Manufacturer,3,9,True
2181,Supplier 2181,Germany,Wholesaler,3,33,True
2182,Supplier 2182,Belgium,Wholesaler,5,19,True
2183,Supplier 2183,Portugal,Distributor,3,31,True
2184,Supplier 2184,Poland,Manufacturer,5,34,True
2185,Supplier 2185,Italy,Manufacturer,4,28,True
2186,Supplier 2186,Belgium,Manufacturer,4,21,True
2187,Supplier 2187,Portugal,Manufacturer,4,32,True
2188,Supplier 2188,Poland,Distributor,4,14,True
2189,Supplier 2189,Spain,Wholesaler,4,16,True
2190,Supplier 2190,Poland,Manufacturer,4,32,True
2191,Supplier 2191,Poland,Distributor,5,11,True
2192,Supplier 2192,France,Manufacturer,5,23,True
2193,Supplier 2193,Portugal,Manufacturer,5,31,False
2194,Supplier 2194,Italy,Distributor,5,11,True
2195,Supplier 2195,Belgium,Distributor,5,27,True
2196,Supplier 2196,Netherlands,Wholesaler,5,26,True
2197,Supplier 2197,Portugal,Wholesaler,3,6,True
2198,Supplier 2198,Belgium,Manufacturer,5,7,True
2199,Supplier 2199,Germany,Wholesaler,5,8,True
2200,Supplier 2200,Belgium,Manufacturer,3,22,True
2201,Supplier 2201,Belgium,Distributor,4,29,True
2202,Supplier 2202,Poland,Wholesaler,5,13,True
2203,Supplier 2203,Germany,Wholesaler,4,17,True
2204,Supplier 2204,Italy,Manufacturer,4,18,True
2205,Supplier 2205,France,Distributor,4,12,True
2206,Supplier 2206,Netherlands,Wholesaler,4,29,True
2207,Supplier 2207,Portugal,Distributor,3,26,True
2208,Supplier 2208,Germany,Manufacturer,4,24,True
2209,Supplier 2209,Belgium,Manufacturer,5,27,True
2210,Supplier 2210,France,Wholesaler,5,33,True
2211,Supplier 2211,Belgium,Manufacturer,5,24,True
2212,Supplier 2212,Spain,Wholesaler,4,10,True
2213,Supplier 2213,France,Distributor,4,4,True
2214,Supplier 2214,Italy,Manufacturer,4,22,True
2215,Supplier 2215,Italy,Manufacturer,3,25,True
2216,Supplier 2216,Belgium,Manufacturer,4,32,True
2217,Supplier 2217,Belgium,Wholesaler,4,9,True
2218,Supplier 2218,Germany,Manufacturer,3,27,True
2219,Supplier 2219,Netherlands,Manufacturer,4,2,True
2220,Supplier 2220,Germany,Distributor,4,18,True
2221,Supplier 2221,Netherlands,Manufacturer,5,16,True
2222,Supplier 2222,Netherlands,Wholesaler,3,6,True
2223,Supplier 2223,Portugal,Wholesaler,4,28,True
2224,Supplier 2224,France,Manufacturer,4,33,True
2225,Supplier 2225,Spain,Wholesaler,3,26,True
2226,Supplier 2226,Poland,Wholesaler,5,11,True
2227,Supplier 2227,Germany,Distributor,5,28,True
2228,Supplier 2228,Belgium,Manufacturer,5,25,True
2229,Supplier 2229,Portugal,Manufacturer,4,8,True
2230,Supplier 2230,Netherlands,Wholesaler,5,24,True
2231,Supplier 2231,Belgium,Manufacturer,3,31,True
2232,Supplier 2232,Spain,Wholesaler,5,3,True
2233,Supplier 2233,Netherlands,Manufacturer,3,15,True
2234,Supplier 2234,Spain,Wholesaler,3,16,True
2235,Supplier 2235,Italy,Wholesaler,3,19,True
2236,Supplier 2236,Italy,Manufacturer,5,18,True
2237,Supplier 2237,Germany,Wholesaler,3,10,False
2238,Supplier 2238,Spain,Wholesaler,4,3,True
2239,Supplier 2239,France,Manufacturer,5,28,True
2240,Supplier 2240,Germany,Distributor,4,25,True
2241,Supplier 2241,Germany,Distributor,5,16,True
2242,Supplier 2242,France,Wholesaler,5,35,True
2243,Supplier 2243,France,Manufacturer,4,27,True
2244,Supplier 2244,Germany,Distributor,5,30,True
2245,Supplier 2245,Germany,Distributor,5,11,True
2246,Supplier 2246,Belgium,Wholesaler,5,22,True
2247,Supplier 2247,Belgium,Distributor,5,29,True
2248,Supplier 2248,Germany,Wholesaler,5,15,True
2249,Supplier 2249,Spain,Distributor,4,31,True
2250,Supplier 2250,Germany,Distributor,4,22,True
2251,Supplier 2251,Netherlands,Manufacturer,5,32,True
2252,Supplier 2252,Germany,Manufacturer,4,8,True
2253,Supplier 2253,Netherlands,Manufacturer,5,5,True
2254,Supplier 2254,Netherlands,Wholesaler,3,28,True
2255,Supplier 2255,Poland,Wholesaler,3,20,True
2256,Supplier 2256,Netherlands,Manufacturer,5,34,True
2257,Supplier 2257,Portugal,Manufacturer,3,24,True
2258,Supplier 2258,Netherlands,Manufacturer,4,16,True
2259,Supplier 2259,France,Wholesaler,5,19,False
2260,Supplier 2260,Belgium,Wholesaler,4,23,True
2261,Supplier 2261,Italy,Manufacturer,5,27,True
2262,Supplier 2262,France,Manufacturer,5,35,True
2263,Supplier 2263,Poland,Distributor,4,12,True
2264,Supplier 2264,Netherlands,Wholesaler,5,7,True
2265,Supplier 2265,Italy,Manufacturer,5,5,True
2266,Supplier 2266,Belgium,Distributor,5,29,True
2267,Supplier 2267,Portugal,Distributor,4,15,True
2268,Supplier 2268,Germany,Distributor,4,9,True
2269,Supplier 2269,Portugal,Wholesaler,5,21,False
2270,Supplier 2270,Poland,Wholesaler,3,2,True
2271,Supplier 2271,Spain,Manufacturer,4,20,True
2272,Supplier 2272,France,Distributor,5,29,True
2273,Supplier 2273,Poland,Wholesaler,5,16,True
2274,Supplier 2274,Netherlands,Manufacturer,4,4,True
2275,Supplier 2275,Portugal,Manufacturer,4,29,True
2276,Supplier 2276,Poland,Distributor,3,27,False
2277,Supplier 2277,Netherlands,Manufacturer,5,31,True
2278,Supplier 2278,Netherlands,Manufacturer,4,8,True
2279,Supplier 2279,Poland,Wholesaler,3,27,True
2280,Supplier 2280,Netherlands,Manufacturer,4,12,True
2281,Supplier 2281,Germany,Wholesaler,5,14,True
2282,Supplier 2282,Netherlands,Distributor,5,11,True
2283,Supplier 2283,Italy,Distributor,3,13,True
2284,Supplier 2284,Germany,Manufacturer,5,33,True
2285,Supplier 2285,Portugal,Wholesaler,5,22,True
2286,Supplier 2286,Netherlands,Manufacturer,4,6,True
2287,Supplier 2287,Belgium,Distributor,5,5,True
2288,Supplier 2288,Germany,Distributor,4,30,False
2289,Supplier 2289,Netherlands,Distributor,3,7,True
2290,Supplier 2290,Poland,Distributor,5,4,True
2291,Supplier 2291,Spain,Distributor,5,32,True
2292,Supplier 2292,France,Distributor,3,23,True
2293,Supplier 2293,Germany,Wholesaler,5,13,False
2294,Supplier 2294,Portugal,Distributor,5,35,True
2295,Supplier 2295,Netherlands,Distributor,4,26,True
2296,Supplier 2296,Netherlands,Wholesaler,5,5,True
2297,Supplier 2297,Netherlands,Manufacturer,4,8,True
2298,Supplier 2298,Poland,Distributor,4,11,True
2299,Supplier 2299,Italy,Distributor,4,27,True
2300,Supplier 2300,Germany,Distributor,5,26,True
2301,Supplier 2301,Netherlands,Manufacturer,5,35,True
2302,Supplier 2302,Poland,Wholesaler,4,3,True
2303,Supplier 2303,Italy,Manufacturer,4,33,True
2304,Supplier 2304,Italy,Manufacturer,3,20,True
2305,Supplier 2305,Germany,Wholesaler,5,35,False
2306,Supplier 2306,Netherlands,Wholesaler,3,26,True
2307,Supplier 2307,Italy,Wholesaler,5,12,True
2308,Supplier 2308,France,Distributor,4,17,True
2309,Supplier 2309,Belgium,Wholesaler,4,16,True
2310,Supplier 2310,Belgium,Distributor,3,25,True
2311,Supplier 2311,Portugal,Distributor,4,26,True
2312,Supplier 2312,Poland,Manufacturer,3,10,True
2313,Supplier 2313,France,Wholesaler,4,25,True
2314,Supplier 2314,Germany,Wholesaler,5,9,True
2315,Supplier 2315,Italy,Distributor,4,34,True
2316,Supplier 2316,Poland,Manufacturer,3,30,True
2317,Supplier 2317,France,Distributor,3,27,True
2318,Supplier 2318,Spain,Distributor,3,25,True
2319,Supplier 2319,Netherlands,Manufacturer,5,23,True
2320,Supplier 2320,Italy,Manufacturer,4,32,True
2321,Supplier 2321,Italy,Wholesaler,4,30,True
2322,Supplier 2322,Germany,Manufacturer,4,15,True
